전철역코드,전철역명,X좌표,Y좌표
# 4호선
1759, 안산,,
1760, 신길온천,,
0427, 숙대입구,2000, 1833
0415, 미아,2575, 723
1761, 정왕,,
0432, 총신대입구,2000, 2688
1455, 인덕원,1785, 3248
0425, 회현,2000, 1616
1762, 오이도,,
0418, 성신여대입구,,
0417, 길음,2447, 849
0413, 쌍문,2727, 599
0410, 상계,3170, 598
0409, 당고개,3240, 598
0408, 별내별가람,3351, 599
0406, 오남,3452, 600
1753, 반월,1505, 3498
1754, 상록수,1505, 3558
1456, 평촌,1715, 3248
1756, 중앙,,
0426, 서울역,2000, 1693
0433, 사당,2000, 2958
0434, 남태령,2000, 3038
405,진접,3550,600
1451, 경마공원,2000, 3148
1763, 수리산,1505, 3368
0419, 한성대입구,2287, 1008
0421, 동대문,2183, 1117
0424, 명동,2001, 1543
0431, 동작,2000, 2288
1458, 금정,,
0429, 신용산,,
0428, 삼각지,2000, 1978
0423, 충무로,2028, 1464
0414, 수유,2635, 656
1457, 범계,1635, 3248
1755, 한대앞,,
0430, 이촌,2000, 2088
1454, 정부과천청사,1875, 3248
1453, 과천,1945, 3248
1452, 대공원,2000, 3208
0416, 미아사거리,2512, 786
1751, 산본,1505, 3308
0412, 창동,2815, 598
0422, 동대문역사문화공원,2193, 1240
1757, 고잔,,
1752, 대야미,1505, 3428
0420, 혜화,2240, 1058
1758, 초지,,
0411, 노원,3081, 599
1450, 선바위,2000, 3098

# 5호선
2534, 광화문,1582, 1188
2531, 애오개,1582, 1728
2544, 장한평,3018, 1490
2515, 마곡,,
2517, 우장산,,
2516, 발산,,
2518, 화곡,,
2520, 신정,989, 2106
2564, 하남풍산,,
2543, 답십리,2933, 1490
2546, 아차산,3188, 1610
2513, 김포공항,,
2533, 서대문,1582, 1288
2532, 충정로,,
2523, 양평,1158, 2268
2522, 오목교,1099, 2210
2521, 목동,1049, 2160
2514, 송정,,
2524, 영등포구청,,
2512, 개화산,,
2530, 공덕,,
2529, 마포,,
2528, 여의나루,,
2527, 여의도,,
2526, 신길,1530, 2368
2525, 영등포시장,1378, 2368
2519, 까치산,,
2542, 마장,2833, 1490
2547, 광나루,3188, 1725
2548, 천호,,
2549, 강동,3188, 2125
2566, 하남검단산,,
2565, 하남시청,,
2541, 왕십리,,
2540, 행당,2543, 1490
2539, 신금호,2483, 1490
2561, 마천,3416, 2703
2538, 청구,,
2560, 거여,3358, 2703
2559, 개롱,3288, 2703
2557, 방이,3188, 2603
2556, 올림픽공원,,
2555, 둔촌동,3188, 2323
2553, 고덕,,
2558, 오금,,
2562, 강일,,
2550, 길동,,
2552, 명일,,
2551, 굽은다리,,
2537, 동대문역사문화공원,,
2536, 을지로4가,,
2545, 군자,,
2554, 상일동,,
2563, 미사,,
2511, 방화,,
2535, 종로3가,,


# 8호선
2812, 천호,,
2818, 가락시장,,
2828, 남위례,3260, 3037
2827, 모란,,
2826, 수진,3280, 3199
2825, 신흥,3345, 3199
2824, 단대오거리,3381, 3160
2823, 남한산성입구,3344, 3120
2822, 산성,3304, 3080
2821, 복정,,
2820, 장지,3178, 2960
2819, 문정,3130, 2903
2817, 송파,3014, 2663
2816, 석촌,,
2815, 잠실,,
2814, 몽촌토성,2954, 2183
2813, 강동구청,3054, 2073
2811, 암사,3278, 1855

# 서해선
108C, 일산,,
106C, 백마,,
107C, 풍산,,
4806, 시흥대야,886, 2965
4805, 소새울,882, 2706
4804, 소사,,
4807, 신천,886, 3105
4808, 신현,981, 3225
4809, 시흥시청,1022, 3260
4810, 시흥능곡,1086, 3328
4812, 선부,1162, 3470
4811, 달미,1150, 3395
4813, 초지,,
4814, 시우,1162, 3730
4815, 원시,1268, 3754
1981, 원종,709, 2136
103C, 대곡,,
105C, 곡산,,
104C, 능곡,,
1982, 부천종합운동장,,
1980, 김포공항,,

# 신림선
4409, 서원,1615, 2985
4408, 신림,,
4403, 서울지방병무청,1670, 2520
4406, 보라매병원,1615, 2745
4402, 대방,,
4401, 샛강,,
4405, 보라매공원,1615, 2705
4411, 관악산,1750, 3035
4404, 보라매,,
4407, 당곡,1615, 2785
4410, 서울대벤처타운,1650, 3035


# 우이신설
4704, 가오리,2350, 560
4709, 북한산보국문,2350, 810
4710, 정릉,2350, 860
4711, 성신여대입구,2345, 952
4712, 보문,,
4713, 신설동,,
4701, 북한산우이,2350, 410
4702, 솔밭공원,2350, 460
4703, 4·19민주묘지,2350, 510
4705, 화계,2350, 610
4706, 삼양,2350, 660
4707, 삼양사거리,2350, 710
4708, 솔샘,2350, 760
